Data run ended at:  Friday, April 09, 2021	1:50:33 AM
Total number of sweeps:  14912522	live time (sec):  298250.440000	real time (sec):  345601.047000


time (sec)	counts
1.100000E-2	1.494360E+5
1.102000E-2	1.485400E+5
1.104000E-2	1.496240E+5
1.106000E-2	1.486980E+5
1.108000E-2	1.500510E+5
1.110000E-2	1.496850E+5
1.112000E-2	1.489580E+5
1.114000E-2	1.492520E+5
1.116000E-2	1.488060E+5
1.118000E-2	1.491940E+5
1.120000E-2	1.489290E+5
1.122000E-2	1.489310E+5
1.124000E-2	1.497560E+5
1.126000E-2	1.499350E+5
1.128000E-2	1.498600E+5
1.130000E-2	1.487990E+5
1.132000E-2	1.498060E+5
1.134000E-2	1.496610E+5
1.136000E-2	1.490070E+5
1.138000E-2	1.491180E+5
1.140000E-2	1.492640E+5
1.142000E-2	1.491830E+5
1.144000E-2	1.489630E+5
1.146000E-2	1.496860E+5
1.148000E-2	1.495200E+5
1.150000E-2	1.491350E+5
1.152000E-2	1.492010E+5
1.154000E-2	1.491180E+5
1.156000E-2	1.495940E+5
1.158000E-2	1.490880E+5
1.160000E-2	1.495720E+5
1.162000E-2	1.491430E+5
1.164000E-2	1.493450E+5
1.166000E-2	1.483860E+5
1.168000E-2	1.495730E+5
1.170000E-2	1.497630E+5
1.172000E-2	1.486550E+5
1.174000E-2	1.491760E+5
1.176000E-2	1.491280E+5
1.178000E-2	1.496080E+5
1.180000E-2	1.490950E+5
1.182000E-2	1.496140E+5
1.184000E-2	1.492900E+5
1.186000E-2	1.486890E+5
1.188000E-2	1.486260E+5
1.190000E-2	1.492430E+5
1.192000E-2	1.489490E+5
1.194000E-2	1.495140E+5
1.196000E-2	1.489970E+5
1.198000E-2	1.490870E+5
1.200000E-2	1.490150E+5
1.202000E-2	1.490230E+5
1.204000E-2	1.493730E+5
1.206000E-2	1.497340E+5
1.208000E-2	1.495640E+5
1.210000E-2	1.494720E+5
1.212000E-2	1.485480E+5
1.214000E-2	1.488700E+5
1.216000E-2	1.495890E+5
1.218000E-2	1.491350E+5
1.220000E-2	1.493510E+5
1.222000E-2	1.496940E+5
1.224000E-2	1.489900E+5
1.226000E-2	1.484000E+5
1.228000E-2	1.494640E+5
1.230000E-2	1.485340E+5
1.232000E-2	1.494570E+5
1.234000E-2	1.494200E+5
1.236000E-2	1.492660E+5
1.238000E-2	1.489170E+5
1.240000E-2	1.489220E+5
1.242000E-2	1.496420E+5
1.244000E-2	1.492910E+5
1.246000E-2	1.485370E+5
1.248000E-2	1.494210E+5
1.250000E-2	1.494530E+5
1.252000E-2	1.492280E+5
1.254000E-2	1.485280E+5
1.256000E-2	1.493610E+5
1.258000E-2	1.496740E+5
1.260000E-2	1.498110E+5
1.262000E-2	1.485480E+5
1.264000E-2	1.494050E+5
1.266000E-2	1.492930E+5
1.268000E-2	1.493600E+5
1.270000E-2	1.495100E+5
1.272000E-2	1.488650E+5
1.274000E-2	1.490420E+5
1.276000E-2	1.498880E+5
1.278000E-2	1.492880E+5
1.280000E-2	1.492870E+5
1.282000E-2	1.486260E+5
1.284000E-2	1.496980E+5
1.286000E-2	1.496490E+5
1.288000E-2	1.494150E+5
1.290000E-2	1.487780E+5
1.292000E-2	1.490910E+5
1.294000E-2	1.489860E+5
1.296000E-2	1.491950E+5
1.298000E-2	1.496260E+5
1.300000E-2	1.486760E+5
1.302000E-2	1.494710E+5
1.304000E-2	1.491690E+5
1.306000E-2	1.487880E+5
1.308000E-2	1.500940E+5
1.310000E-2	1.495810E+5
1.312000E-2	1.491120E+5
1.314000E-2	1.492660E+5
1.316000E-2	1.493200E+5
1.318000E-2	1.490860E+5
1.320000E-2	1.494360E+5
1.322000E-2	1.487460E+5
1.324000E-2	1.488030E+5
1.326000E-2	1.494550E+5
1.328000E-2	1.497760E+5
1.330000E-2	1.496540E+5
1.332000E-2	1.496320E+5
1.334000E-2	1.490720E+5
1.336000E-2	1.489300E+5
1.338000E-2	1.489370E+5
1.340000E-2	1.497190E+5
1.342000E-2	1.498580E+5
1.344000E-2	1.493990E+5
1.346000E-2	1.490870E+5
1.348000E-2	1.489010E+5
1.350000E-2	1.493230E+5
1.352000E-2	1.493400E+5
1.354000E-2	1.492500E+5
1.356000E-2	1.490040E+5
1.358000E-2	1.477230E+5
1.360000E-2	1.488810E+5
1.362000E-2	1.487210E+5
1.364000E-2	1.487410E+5
1.366000E-2	1.488090E+5
1.368000E-2	1.495520E+5
1.370000E-2	1.495740E+5
1.372000E-2	1.489900E+5
1.374000E-2	1.489630E+5
1.376000E-2	1.494830E+5
1.378000E-2	1.497580E+5
1.380000E-2	1.483890E+5
1.382000E-2	1.485240E+5
1.384000E-2	1.487570E+5
1.386000E-2	1.495820E+5
1.388000E-2	1.492600E+5
1.390000E-2	1.495220E+5
1.392000E-2	1.487610E+5
1.394000E-2	1.499160E+5
1.396000E-2	1.489120E+5
1.398000E-2	1.494510E+5
1.400000E-2	1.491970E+5
1.402000E-2	1.491470E+5
1.404000E-2	1.497280E+5
1.406000E-2	1.487550E+5
1.408000E-2	1.496190E+5
1.410000E-2	1.490230E+5
1.412000E-2	1.487620E+5
1.414000E-2	1.488820E+5
1.416000E-2	1.497410E+5
1.418000E-2	1.494770E+5
1.420000E-2	1.494780E+5
1.422000E-2	1.490070E+5
1.424000E-2	1.489600E+5
1.426000E-2	1.495390E+5
1.428000E-2	1.494690E+5
1.430000E-2	1.492270E+5
1.432000E-2	1.500250E+5
1.434000E-2	1.490480E+5
1.436000E-2	1.492090E+5
1.438000E-2	1.490590E+5
1.440000E-2	1.487630E+5
1.442000E-2	1.493300E+5
1.444000E-2	1.497370E+5
1.446000E-2	1.493760E+5
1.448000E-2	1.489890E+5
1.450000E-2	1.490180E+5
1.452000E-2	1.495230E+5
1.454000E-2	1.492420E+5
1.456000E-2	1.491000E+5
1.458000E-2	1.487470E+5
1.460000E-2	1.487740E+5
1.462000E-2	1.496910E+5
1.464000E-2	1.492400E+5
1.466000E-2	1.488620E+5
1.468000E-2	1.495450E+5
1.470000E-2	1.489540E+5
1.472000E-2	1.488040E+5
1.474000E-2	1.493380E+5
1.476000E-2	1.486110E+5
1.478000E-2	1.496340E+5
1.480000E-2	1.493430E+5
1.482000E-2	1.492700E+5
1.484000E-2	1.488720E+5
1.486000E-2	1.493490E+5
1.488000E-2	1.485890E+5
1.490000E-2	1.491690E+5
1.492000E-2	1.491050E+5
1.494000E-2	1.496620E+5
1.496000E-2	1.495000E+5
1.498000E-2	1.493350E+5
1.500000E-2	1.493740E+5
1.502000E-2	1.495190E+5
1.504000E-2	1.501690E+5
1.506000E-2	1.493720E+5
1.508000E-2	1.492350E+5
1.510000E-2	1.494080E+5
1.512000E-2	1.494310E+5
1.514000E-2	1.482740E+5
1.516000E-2	1.492630E+5
1.518000E-2	1.493790E+5
1.520000E-2	1.490380E+5
1.522000E-2	1.493220E+5
1.524000E-2	1.498250E+5
1.526000E-2	1.489320E+5
1.528000E-2	1.495580E+5
1.530000E-2	1.497180E+5
1.532000E-2	1.493530E+5
1.534000E-2	1.492230E+5
1.536000E-2	1.489760E+5
1.538000E-2	1.492470E+5
1.540000E-2	1.491100E+5
1.542000E-2	1.486920E+5
1.544000E-2	1.494280E+5
1.546000E-2	1.484780E+5
1.548000E-2	1.487520E+5
1.550000E-2	1.493010E+5
1.552000E-2	1.491000E+5
1.554000E-2	1.489720E+5
1.556000E-2	1.495880E+5
1.558000E-2	1.491690E+5
1.560000E-2	1.490310E+5
1.562000E-2	1.485240E+5
1.564000E-2	1.487660E+5
1.566000E-2	1.493450E+5
1.568000E-2	1.488370E+5
1.570000E-2	1.493360E+5
1.572000E-2	1.491130E+5
1.574000E-2	1.491860E+5
1.576000E-2	1.489200E+5
1.578000E-2	1.487260E+5
1.580000E-2	1.495370E+5
1.582000E-2	1.493110E+5
1.584000E-2	1.488720E+5
1.586000E-2	1.487960E+5
1.588000E-2	1.486020E+5
1.590000E-2	1.491340E+5
1.592000E-2	1.487390E+5
1.594000E-2	1.491250E+5
1.596000E-2	1.487590E+5
1.598000E-2	1.488350E+5
1.600000E-2	1.490160E+5
1.602000E-2	1.490140E+5
1.604000E-2	1.492550E+5
1.606000E-2	1.493460E+5
1.608000E-2	1.492830E+5
1.610000E-2	1.494770E+5
1.612000E-2	1.483700E+5
1.614000E-2	1.493560E+5
1.616000E-2	1.494020E+5
1.618000E-2	1.481260E+5
1.620000E-2	1.486300E+5
1.622000E-2	1.486140E+5
1.624000E-2	1.492250E+5
1.626000E-2	1.483630E+5
1.628000E-2	1.487680E+5
1.630000E-2	1.489800E+5
1.632000E-2	1.489260E+5
1.634000E-2	1.489180E+5
1.636000E-2	1.488240E+5
1.638000E-2	1.489820E+5
1.640000E-2	1.488070E+5
1.642000E-2	1.488690E+5
1.644000E-2	1.491130E+5
1.646000E-2	1.480220E+5
1.648000E-2	1.494870E+5
1.650000E-2	1.491760E+5
1.652000E-2	1.490680E+5
1.654000E-2	1.482340E+5
1.656000E-2	1.485320E+5
1.658000E-2	1.491970E+5
1.660000E-2	1.481930E+5
1.662000E-2	1.486010E+5
1.664000E-2	1.492510E+5
1.666000E-2	1.491210E+5
1.668000E-2	1.486730E+5
1.670000E-2	1.487470E+5
1.672000E-2	1.489180E+5
1.674000E-2	1.479220E+5
1.676000E-2	1.481660E+5
1.678000E-2	1.487920E+5
1.680000E-2	1.486860E+5
1.682000E-2	1.484310E+5
1.684000E-2	1.479060E+5
1.686000E-2	1.478850E+5
1.688000E-2	1.477560E+5
1.690000E-2	1.470860E+5
1.692000E-2	1.475610E+5
1.694000E-2	1.473990E+5
1.696000E-2	1.467020E+5
1.698000E-2	1.463870E+5
