Data run ended at:  Sunday, April 04, 2021	8:13:18 PM
Total number of sweeps:  4039012	live time (sec):  80780.240000	real time (sec):  93604.633000


time (sec)	counts
1.146000E-2	1.050880E+5
1.148000E-2	1.051620E+5
1.150000E-2	1.059120E+5
1.152000E-2	1.056760E+5
1.154000E-2	1.051830E+5
1.156000E-2	1.052200E+5
1.158000E-2	1.053140E+5
1.160000E-2	1.053670E+5
1.162000E-2	1.055010E+5
1.164000E-2	1.055140E+5
1.166000E-2	1.052780E+5
1.168000E-2	1.051160E+5
1.170000E-2	1.052250E+5
1.172000E-2	1.054820E+5
1.174000E-2	1.059550E+5
1.176000E-2	1.052520E+5
1.178000E-2	1.059290E+5
1.180000E-2	1.056630E+5
1.182000E-2	1.057170E+5
1.184000E-2	1.052830E+5
1.186000E-2	1.053110E+5
1.188000E-2	1.057910E+5
1.190000E-2	1.061130E+5
1.192000E-2	1.049830E+5
1.194000E-2	1.050480E+5
1.196000E-2	1.057520E+5
1.198000E-2	1.055000E+5
1.200000E-2	1.052560E+5
1.202000E-2	1.050990E+5
1.204000E-2	1.056490E+5
1.206000E-2	1.056620E+5
1.208000E-2	1.048780E+5
1.210000E-2	1.047080E+5
1.212000E-2	1.046830E+5
1.214000E-2	1.051480E+5
1.216000E-2	1.059860E+5
1.218000E-2	1.053760E+5
1.220000E-2	1.050310E+5
1.222000E-2	1.049260E+5
1.224000E-2	1.053630E+5
1.226000E-2	1.053960E+5
1.228000E-2	1.051200E+5
1.230000E-2	1.053330E+5
1.232000E-2	1.056530E+5
1.234000E-2	1.049660E+5
1.236000E-2	1.060670E+5
1.238000E-2	1.047390E+5
1.240000E-2	1.055690E+5
1.242000E-2	1.051580E+5
1.244000E-2	1.053900E+5
1.246000E-2	1.051390E+5
1.248000E-2	1.057400E+5
1.250000E-2	1.054910E+5
1.252000E-2	1.051660E+5
1.254000E-2	1.057990E+5
1.256000E-2	1.047930E+5
1.258000E-2	1.053000E+5
1.260000E-2	1.060780E+5
1.262000E-2	1.057730E+5
1.264000E-2	1.057330E+5
1.266000E-2	1.062030E+5
1.268000E-2	1.050960E+5
1.270000E-2	1.056490E+5
1.272000E-2	1.048600E+5
1.274000E-2	1.054150E+5
1.276000E-2	1.057870E+5
1.278000E-2	1.059950E+5
1.280000E-2	1.054070E+5
1.282000E-2	1.051560E+5
1.284000E-2	1.053540E+5
1.286000E-2	1.053070E+5
1.288000E-2	1.052490E+5
1.290000E-2	1.056480E+5
1.292000E-2	1.052730E+5
1.294000E-2	1.044620E+5
1.296000E-2	1.054890E+5
1.298000E-2	1.049640E+5
1.300000E-2	1.055780E+5
1.302000E-2	1.053280E+5
1.304000E-2	1.053840E+5
1.306000E-2	1.058930E+5
1.308000E-2	1.055030E+5
1.310000E-2	1.058120E+5
1.312000E-2	1.058910E+5
1.314000E-2	1.058170E+5
1.316000E-2	1.059570E+5
1.318000E-2	1.059060E+5
1.320000E-2	1.053780E+5
1.322000E-2	1.052380E+5
1.324000E-2	1.052630E+5
1.326000E-2	1.047760E+5
1.328000E-2	1.055650E+5
1.330000E-2	1.055800E+5
1.332000E-2	1.051310E+5
1.334000E-2	1.051420E+5
1.336000E-2	1.055560E+5
1.338000E-2	1.054240E+5
1.340000E-2	1.053960E+5
1.342000E-2	1.049150E+5
1.344000E-2	1.048580E+5
1.346000E-2	1.055000E+5
1.348000E-2	1.049000E+5
1.350000E-2	1.057120E+5
1.352000E-2	1.059280E+5
1.354000E-2	1.056760E+5
1.356000E-2	1.051930E+5
1.358000E-2	1.051380E+5
1.360000E-2	1.054870E+5
1.362000E-2	1.051070E+5
1.364000E-2	1.053880E+5
1.366000E-2	1.056770E+5
1.368000E-2	1.049670E+5
1.370000E-2	1.053430E+5
1.372000E-2	1.056580E+5
1.374000E-2	1.052010E+5
1.376000E-2	1.054800E+5
1.378000E-2	1.056770E+5
1.380000E-2	1.053590E+5
1.382000E-2	1.057770E+5
1.384000E-2	1.055840E+5
1.386000E-2	1.056330E+5
1.388000E-2	1.050630E+5
1.390000E-2	1.045840E+5
1.392000E-2	1.057040E+5
1.394000E-2	1.048980E+5
1.396000E-2	1.052840E+5
1.398000E-2	1.052650E+5
1.400000E-2	1.053500E+5
1.402000E-2	1.056570E+5
1.404000E-2	1.051940E+5
1.406000E-2	1.054460E+5
1.408000E-2	1.055150E+5
1.410000E-2	1.055750E+5
1.412000E-2	1.051970E+5
1.414000E-2	1.057270E+5
1.416000E-2	1.046580E+5
1.418000E-2	1.054470E+5
1.420000E-2	1.052680E+5
1.422000E-2	1.050870E+5
1.424000E-2	1.053250E+5
1.426000E-2	1.054970E+5
1.428000E-2	1.051740E+5
1.430000E-2	1.049620E+5
1.432000E-2	1.052870E+5
1.434000E-2	1.051550E+5
1.436000E-2	1.051320E+5
1.438000E-2	1.050040E+5
1.440000E-2	1.055680E+5
1.442000E-2	1.058960E+5
1.444000E-2	1.051960E+5
1.446000E-2	1.051770E+5
1.448000E-2	1.052970E+5
1.450000E-2	1.051840E+5
1.452000E-2	1.056850E+5
1.454000E-2	1.057620E+5
1.456000E-2	1.054540E+5
1.458000E-2	1.057100E+5
1.460000E-2	1.052200E+5
1.462000E-2	1.052950E+5
1.464000E-2	1.056680E+5
1.466000E-2	1.053190E+5
1.468000E-2	1.052020E+5
1.470000E-2	1.049520E+5
1.472000E-2	1.053760E+5
1.474000E-2	1.050640E+5
1.476000E-2	1.051730E+5
1.478000E-2	1.052400E+5
1.480000E-2	1.050950E+5
1.482000E-2	1.055950E+5
1.484000E-2	1.050080E+5
1.486000E-2	1.052810E+5
1.488000E-2	1.046680E+5
1.490000E-2	1.054310E+5
1.492000E-2	1.048690E+5
1.494000E-2	1.047780E+5
1.496000E-2	1.053850E+5
1.498000E-2	1.049770E+5
1.500000E-2	1.050640E+5
1.502000E-2	1.054820E+5
1.504000E-2	1.050990E+5
1.506000E-2	1.051970E+5
1.508000E-2	1.050250E+5
1.510000E-2	1.048590E+5
1.512000E-2	1.043870E+5
1.514000E-2	1.044860E+5
1.516000E-2	1.047930E+5
1.518000E-2	1.048100E+5
1.520000E-2	1.043290E+5
1.522000E-2	1.046960E+5
1.524000E-2	1.046780E+5
1.526000E-2	1.046340E+5
1.528000E-2	1.045650E+5
1.530000E-2	1.045930E+5
1.532000E-2	1.044650E+5
1.534000E-2	1.039200E+5
1.536000E-2	1.036910E+5
1.538000E-2	1.034440E+5
1.540000E-2	1.032190E+5
1.542000E-2	1.030060E+5
1.544000E-2	1.017350E+5
1.546000E-2	1.005480E+5
1.548000E-2	9.956200E+4
1.550000E-2	9.684500E+4
1.552000E-2	9.269300E+4
1.554000E-2	8.813000E+4
1.556000E-2	8.205400E+4
1.558000E-2	7.691500E+4
1.560000E-2	7.453800E+4
1.562000E-2	7.732800E+4
1.564000E-2	8.243500E+4
1.566000E-2	8.770200E+4
1.568000E-2	9.295900E+4
1.570000E-2	9.497100E+4
1.572000E-2	9.614700E+4
1.574000E-2	9.682900E+4
1.576000E-2	9.730600E+4
1.578000E-2	1.001110E+5
1.580000E-2	1.005770E+5
1.582000E-2	1.022350E+5
1.584000E-2	1.029930E+5
1.586000E-2	1.031560E+5
1.588000E-2	1.031370E+5
1.590000E-2	1.036710E+5
1.592000E-2	1.035870E+5
1.594000E-2	1.036640E+5
1.596000E-2	1.036030E+5
1.598000E-2	1.035030E+5
1.600000E-2	1.037860E+5
1.602000E-2	1.039050E+5
1.604000E-2	1.039160E+5
1.606000E-2	1.037560E+5
1.608000E-2	1.040950E+5
1.610000E-2	1.032100E+5
1.612000E-2	1.027960E+5
1.614000E-2	1.020490E+5
1.616000E-2	1.004640E+5
1.618000E-2	9.931500E+4
1.620000E-2	9.671400E+4
1.622000E-2	9.338000E+4
1.624000E-2	8.744500E+4
1.626000E-2	8.075300E+4
1.628000E-2	7.471900E+4
1.630000E-2	7.301700E+4
1.632000E-2	7.711800E+4
1.634000E-2	8.405100E+4
1.636000E-2	8.856900E+4
1.638000E-2	9.194600E+4
1.640000E-2	9.466400E+4
1.642000E-2	9.762100E+4
1.644000E-2	9.999600E+4
1.646000E-2	1.012080E+5
1.648000E-2	1.023730E+5
1.650000E-2	1.031770E+5
1.652000E-2	1.030660E+5
1.654000E-2	1.035040E+5
1.656000E-2	1.035970E+5
1.658000E-2	1.044670E+5
1.660000E-2	1.041750E+5
1.662000E-2	1.038710E+5
1.664000E-2	1.049890E+5
1.666000E-2	1.038940E+5
1.668000E-2	1.045450E+5
1.670000E-2	1.040320E+5
1.672000E-2	1.049110E+5
1.674000E-2	1.046570E+5
1.676000E-2	1.044940E+5
1.678000E-2	1.045200E+5
1.680000E-2	1.034380E+5
1.682000E-2	1.038210E+5
1.684000E-2	1.026270E+5
1.686000E-2	1.020110E+5
1.688000E-2	1.004300E+5
1.690000E-2	9.781500E+4
1.692000E-2	9.380600E+4
1.694000E-2	9.031400E+4
1.696000E-2	8.810700E+4
1.698000E-2	9.081000E+4
