Data run ended at:  Friday, April 09, 2021	10:26:03 PM
Total number of sweeps:  1735	live time (sec):  20.820000	real time (sec):  40.076000


time (sec)	counts
9.960000E-3	2.100000E+1
9.980000E-3	3.000000E+1
1.000000E-2	2.600000E+1
1.002000E-2	2.900000E+1
1.004000E-2	1.600000E+1
1.006000E-2	2.300000E+1
1.008000E-2	2.500000E+1
1.010000E-2	3.300000E+1
1.012000E-2	2.500000E+1
1.014000E-2	2.200000E+1
1.016000E-2	3.300000E+1
1.018000E-2	2.200000E+1
1.020000E-2	2.500000E+1
1.022000E-2	2.500000E+1
1.024000E-2	2.900000E+1
1.026000E-2	3.100000E+1
1.028000E-2	2.300000E+1
1.030000E-2	2.400000E+1
1.032000E-2	3.400000E+1
1.034000E-2	2.500000E+1
1.036000E-2	2.200000E+1
1.038000E-2	2.800000E+1
1.040000E-2	3.300000E+1
1.042000E-2	2.300000E+1
1.044000E-2	2.000000E+1
1.046000E-2	1.900000E+1
1.048000E-2	2.400000E+1
1.050000E-2	2.400000E+1
1.052000E-2	1.700000E+1
1.054000E-2	2.500000E+1
1.056000E-2	2.900000E+1
1.058000E-2	1.900000E+1
1.060000E-2	2.700000E+1
1.062000E-2	2.200000E+1
1.064000E-2	2.900000E+1
1.066000E-2	2.300000E+1
1.068000E-2	2.000000E+1
1.070000E-2	1.800000E+1
1.072000E-2	2.800000E+1
1.074000E-2	2.000000E+1
1.076000E-2	3.300000E+1
1.078000E-2	3.300000E+1
1.080000E-2	2.400000E+1
1.082000E-2	3.200000E+1
1.084000E-2	2.400000E+1
1.086000E-2	2.600000E+1
1.088000E-2	2.600000E+1
1.090000E-2	2.400000E+1
1.092000E-2	1.800000E+1
1.094000E-2	2.700000E+1
1.096000E-2	2.900000E+1
1.098000E-2	2.500000E+1
1.100000E-2	2.200000E+1
1.102000E-2	2.000000E+1
1.104000E-2	2.700000E+1
1.106000E-2	2.800000E+1
1.108000E-2	1.900000E+1
1.110000E-2	2.900000E+1
1.112000E-2	2.700000E+1
1.114000E-2	2.500000E+1
1.116000E-2	2.300000E+1
1.118000E-2	2.800000E+1
1.120000E-2	2.600000E+1
1.122000E-2	2.500000E+1
1.124000E-2	2.800000E+1
1.126000E-2	2.200000E+1
1.128000E-2	3.500000E+1
1.130000E-2	3.100000E+1
1.132000E-2	2.200000E+1
1.134000E-2	2.200000E+1
1.136000E-2	2.800000E+1
1.138000E-2	2.000000E+1
1.140000E-2	2.800000E+1
1.142000E-2	2.700000E+1
1.144000E-2	2.300000E+1
1.146000E-2	2.300000E+1
1.148000E-2	3.000000E+1
1.150000E-2	2.700000E+1
1.152000E-2	1.800000E+1
1.154000E-2	2.300000E+1
1.156000E-2	2.000000E+1
1.158000E-2	2.000000E+1
1.160000E-2	3.300000E+1
1.162000E-2	2.900000E+1
1.164000E-2	1.900000E+1
1.166000E-2	3.000000E+1
1.168000E-2	3.400000E+1
1.170000E-2	2.600000E+1
1.172000E-2	2.400000E+1
1.174000E-2	1.600000E+1
1.176000E-2	2.500000E+1
1.178000E-2	2.000000E+1
1.180000E-2	2.700000E+1
1.182000E-2	2.600000E+1
1.184000E-2	3.000000E+1
1.186000E-2	1.700000E+1
1.188000E-2	2.600000E+1
1.190000E-2	2.600000E+1
1.192000E-2	2.500000E+1
1.194000E-2	2.400000E+1
1.196000E-2	2.200000E+1
1.198000E-2	2.600000E+1
