Data run ended at:  Thursday, April 15, 2021	1:35:47 AM
Total number of sweeps:  11209717	live time (sec):  224194.340000	real time (sec):  259208.184000


time (sec)	counts
1.256000E-2	8.392200E+4
1.258000E-2	8.377500E+4
1.260000E-2	8.425900E+4
1.262000E-2	8.344100E+4
1.264000E-2	8.378800E+4
1.266000E-2	8.382600E+4
1.268000E-2	8.367100E+4
1.270000E-2	8.342000E+4
1.272000E-2	8.338700E+4
1.274000E-2	8.365900E+4
1.276000E-2	8.323900E+4
1.278000E-2	8.438500E+4
1.280000E-2	8.355600E+4
1.282000E-2	8.405900E+4
1.284000E-2	8.353500E+4
1.286000E-2	8.381200E+4
1.288000E-2	8.389500E+4
1.290000E-2	8.333500E+4
1.292000E-2	8.382000E+4
1.294000E-2	8.353500E+4
1.296000E-2	8.382600E+4
1.298000E-2	8.276800E+4
1.300000E-2	8.349600E+4
1.302000E-2	8.386000E+4
1.304000E-2	8.409800E+4
1.306000E-2	8.320200E+4
1.308000E-2	8.337200E+4
1.310000E-2	8.386500E+4
1.312000E-2	8.328300E+4
1.314000E-2	8.365500E+4
1.316000E-2	8.402800E+4
1.318000E-2	8.347500E+4
1.320000E-2	8.353800E+4
1.322000E-2	8.360300E+4
1.324000E-2	8.287400E+4
1.326000E-2	8.389100E+4
1.328000E-2	8.372100E+4
1.330000E-2	8.362000E+4
1.332000E-2	8.341900E+4
1.334000E-2	8.335600E+4
1.336000E-2	8.396800E+4
1.338000E-2	8.389800E+4
1.340000E-2	8.353100E+4
1.342000E-2	8.332100E+4
1.344000E-2	8.338200E+4
1.346000E-2	8.385400E+4
1.348000E-2	8.351400E+4
1.350000E-2	8.328300E+4
1.352000E-2	8.387500E+4
1.354000E-2	8.377700E+4
1.356000E-2	8.358600E+4
1.358000E-2	8.375300E+4
1.360000E-2	8.342300E+4
1.362000E-2	8.333600E+4
1.364000E-2	8.319200E+4
1.366000E-2	8.361900E+4
1.368000E-2	8.382400E+4
1.370000E-2	8.342700E+4
1.372000E-2	8.367100E+4
1.374000E-2	8.345800E+4
1.376000E-2	8.359400E+4
1.378000E-2	8.386400E+4
1.380000E-2	8.347600E+4
1.382000E-2	8.395500E+4
1.384000E-2	8.336500E+4
1.386000E-2	8.334200E+4
1.388000E-2	8.345800E+4
1.390000E-2	8.311900E+4
1.392000E-2	8.360800E+4
1.394000E-2	8.337500E+4
1.396000E-2	8.339300E+4
1.398000E-2	8.385900E+4
1.400000E-2	8.360100E+4
1.402000E-2	8.367400E+4
1.404000E-2	8.342900E+4
1.406000E-2	8.353300E+4
1.408000E-2	8.375400E+4
1.410000E-2	8.358900E+4
1.412000E-2	8.388600E+4
1.414000E-2	8.347300E+4
1.416000E-2	8.407000E+4
1.418000E-2	8.306100E+4
1.420000E-2	8.323100E+4
1.422000E-2	8.391100E+4
1.424000E-2	8.345000E+4
1.426000E-2	8.351200E+4
1.428000E-2	8.385600E+4
1.430000E-2	8.357400E+4
1.432000E-2	8.356100E+4
1.434000E-2	8.325400E+4
1.436000E-2	8.387200E+4
1.438000E-2	8.343200E+4
1.440000E-2	8.364400E+4
1.442000E-2	8.329500E+4
1.444000E-2	8.338500E+4
1.446000E-2	8.332700E+4
1.448000E-2	8.383000E+4
1.450000E-2	8.341600E+4
1.452000E-2	8.346900E+4
1.454000E-2	8.327000E+4
1.456000E-2	8.362700E+4
1.458000E-2	8.347700E+4
1.460000E-2	8.341800E+4
1.462000E-2	8.420700E+4
1.464000E-2	8.311100E+4
