Data run ended at:  Saturday, April 03, 2021	6:03:08 PM
Total number of sweeps:  2519203	live time (sec):  50384.060000	real time (sec):  58415.165000


time (sec)	counts
1.268000E-2	6.511900E+4
1.270000E-2	6.507900E+4
1.272000E-2	6.543500E+4
1.274000E-2	6.542400E+4
1.276000E-2	6.527500E+4
1.278000E-2	6.521600E+4
1.280000E-2	6.527700E+4
1.282000E-2	6.559400E+4
1.284000E-2	6.510200E+4
1.286000E-2	6.546200E+4
1.288000E-2	6.484700E+4
1.290000E-2	6.533200E+4
1.292000E-2	6.493900E+4
1.294000E-2	6.563700E+4
1.296000E-2	6.515300E+4
1.298000E-2	6.509900E+4
1.300000E-2	6.495500E+4
1.302000E-2	6.510300E+4
1.304000E-2	6.512300E+4
1.306000E-2	6.552500E+4
1.308000E-2	6.553900E+4
1.310000E-2	6.514900E+4
1.312000E-2	6.499600E+4
1.314000E-2	6.505800E+4
1.316000E-2	6.485300E+4
1.318000E-2	6.541200E+4
1.320000E-2	6.453500E+4
1.322000E-2	6.533600E+4
1.324000E-2	6.480700E+4
1.326000E-2	6.538400E+4
1.328000E-2	6.543200E+4
1.330000E-2	6.546300E+4
1.332000E-2	6.544600E+4
1.334000E-2	6.514400E+4
1.336000E-2	6.552100E+4
1.338000E-2	6.492800E+4
1.340000E-2	6.507400E+4
1.342000E-2	6.548100E+4
1.344000E-2	6.519200E+4
1.346000E-2	6.517400E+4
1.348000E-2	6.520000E+4
1.350000E-2	6.561700E+4
1.352000E-2	6.472900E+4
1.354000E-2	6.484800E+4
1.356000E-2	6.531500E+4
1.358000E-2	6.503900E+4
1.360000E-2	6.518400E+4
1.362000E-2	6.470600E+4
1.364000E-2	6.465300E+4
1.366000E-2	6.470600E+4
1.368000E-2	6.462100E+4
1.370000E-2	6.539800E+4
1.372000E-2	6.472000E+4
1.374000E-2	6.489800E+4
1.376000E-2	6.475100E+4
1.378000E-2	6.478000E+4
1.380000E-2	6.485300E+4
1.382000E-2	6.476000E+4
1.384000E-2	6.445300E+4
1.386000E-2	6.460900E+4
1.388000E-2	6.474100E+4
1.390000E-2	6.469000E+4
1.392000E-2	6.458800E+4
1.394000E-2	6.512500E+4
1.396000E-2	6.458500E+4
1.398000E-2	6.466500E+4
1.400000E-2	6.438500E+4
1.402000E-2	6.426600E+4
1.404000E-2	6.454600E+4
1.406000E-2	6.453000E+4
1.408000E-2	6.496700E+4
1.410000E-2	6.425300E+4
1.412000E-2	6.378400E+4
1.414000E-2	6.424600E+4
1.416000E-2	6.391500E+4
1.418000E-2	6.415500E+4
1.420000E-2	6.367800E+4
1.422000E-2	6.379700E+4
1.424000E-2	6.420900E+4
1.426000E-2	6.342300E+4
1.428000E-2	6.343100E+4
1.430000E-2	6.356700E+4
1.432000E-2	6.324800E+4
1.434000E-2	6.321700E+4
1.436000E-2	6.338000E+4
1.438000E-2	6.333000E+4
1.440000E-2	6.321900E+4
1.442000E-2	6.281700E+4
1.444000E-2	6.299600E+4
1.446000E-2	6.247300E+4
1.448000E-2	6.225100E+4
1.450000E-2	6.232000E+4
1.452000E-2	6.218200E+4
1.454000E-2	6.145100E+4
1.456000E-2	6.148600E+4
1.458000E-2	6.172200E+4
1.460000E-2	6.127200E+4
1.462000E-2	6.052100E+4
1.464000E-2	6.032500E+4
1.466000E-2	6.023100E+4
1.468000E-2	6.036900E+4
1.470000E-2	5.954100E+4
1.472000E-2	5.881100E+4
1.474000E-2	5.834800E+4
1.476000E-2	5.853900E+4
1.478000E-2	5.761100E+4
1.480000E-2	5.697800E+4
1.482000E-2	5.689100E+4
1.484000E-2	5.598700E+4
1.486000E-2	5.564900E+4
1.488000E-2	5.499300E+4
1.490000E-2	5.481400E+4
1.492000E-2	5.382700E+4
1.494000E-2	5.381400E+4
1.496000E-2	5.356100E+4
1.498000E-2	5.287400E+4
1.500000E-2	5.335700E+4
1.502000E-2	5.318600E+4
1.504000E-2	5.336300E+4
1.506000E-2	5.328700E+4
1.508000E-2	5.337200E+4
1.510000E-2	5.381400E+4
1.512000E-2	5.405400E+4
1.514000E-2	5.484900E+4
1.516000E-2	5.477400E+4
1.518000E-2	5.507800E+4
1.520000E-2	5.596900E+4
1.522000E-2	5.621200E+4
1.524000E-2	5.678600E+4
1.526000E-2	5.706300E+4
1.528000E-2	5.753700E+4
1.530000E-2	5.791700E+4
1.532000E-2	5.818100E+4
1.534000E-2	5.884700E+4
1.536000E-2	5.926400E+4
1.538000E-2	5.995600E+4
1.540000E-2	5.977000E+4
1.542000E-2	6.058900E+4
1.544000E-2	6.028100E+4
1.546000E-2	6.139300E+4
1.548000E-2	6.120000E+4
1.550000E-2	6.144400E+4
1.552000E-2	6.167100E+4
1.554000E-2	6.222400E+4
1.556000E-2	6.236900E+4
1.558000E-2	6.300300E+4
1.560000E-2	6.298500E+4
1.562000E-2	6.330300E+4
1.564000E-2	6.318100E+4
1.566000E-2	6.366400E+4
1.568000E-2	6.326900E+4
1.570000E-2	6.371600E+4
1.572000E-2	6.354000E+4
1.574000E-2	6.398300E+4
1.576000E-2	6.395100E+4
1.578000E-2	6.424400E+4
1.580000E-2	6.392700E+4
1.582000E-2	6.423400E+4
1.584000E-2	6.423300E+4
1.586000E-2	6.429200E+4
1.588000E-2	6.423000E+4
1.590000E-2	6.469800E+4
1.592000E-2	6.447200E+4
1.594000E-2	6.457600E+4
1.596000E-2	6.450500E+4
1.598000E-2	6.472900E+4
1.600000E-2	6.474200E+4
1.602000E-2	6.442800E+4
1.604000E-2	6.453200E+4
1.606000E-2	6.437600E+4
1.608000E-2	6.505400E+4
1.610000E-2	6.463600E+4
1.612000E-2	6.482700E+4
1.614000E-2	6.483000E+4
1.616000E-2	6.532100E+4
1.618000E-2	6.542900E+4
1.620000E-2	6.487400E+4
1.622000E-2	6.477200E+4
1.624000E-2	6.479500E+4
1.626000E-2	6.502400E+4
1.628000E-2	6.529600E+4
1.630000E-2	6.518000E+4
1.632000E-2	6.512600E+4
1.634000E-2	6.481300E+4
1.636000E-2	6.501600E+4
1.638000E-2	6.536000E+4
1.640000E-2	6.523300E+4
1.642000E-2	6.469900E+4
1.644000E-2	6.514700E+4
1.646000E-2	6.532100E+4
1.648000E-2	6.465100E+4
1.650000E-2	6.485900E+4
1.652000E-2	6.499100E+4
1.654000E-2	6.486500E+4
1.656000E-2	6.517600E+4
1.658000E-2	6.499300E+4
1.660000E-2	6.510100E+4
1.662000E-2	6.489100E+4
1.664000E-2	6.500400E+4
1.666000E-2	6.514000E+4
1.668000E-2	6.486100E+4
1.670000E-2	6.491200E+4
1.672000E-2	6.529600E+4
1.674000E-2	6.533100E+4
1.676000E-2	6.501400E+4
1.678000E-2	6.479200E+4
1.680000E-2	6.520500E+4
1.682000E-2	6.511900E+4
1.684000E-2	6.475000E+4
1.686000E-2	6.492200E+4
1.688000E-2	6.528400E+4
1.690000E-2	6.494200E+4
1.692000E-2	6.487500E+4
1.694000E-2	6.549000E+4
1.696000E-2	6.514100E+4
1.698000E-2	6.505500E+4
